Beat,CrimeCount
111,2438
112,2178
113,1962
114,702
121,563
122,2802
123,2879
124,1840
131,2340
132,2558
133,1178
134,31
211,3557
212,2155
213,1430
214,1822
215,568
221,2286
222,2142
223,1517
224,1502
225,432
231,1556
232,1658
233,1651
234,2022
235,473
310,3
311,1395
312,2758
313,2562
314,1686
321,3093
322,2025
323,2455
324,2674
331,2757
332,2264
333,1968
334,2197
411,2004
412,2361
413,2278
414,3101
421,4051
422,1967
423,3738
424,2239
431,2257
432,2397
433,1788
434,1100
511,3288
512,2820
513,2837
522,2492
523,2407
524,2376
531,2002
532,1678
533,2885
611,2313
612,2911
613,2139
614,1985
621,3061
622,1725
623,3116
624,3371
631,3075
632,2718
633,1517
634,2242
711,2116
712,2459
713,2453
714,1413
715,1283
722,1676
723,2240
724,1541
725,2122
726,1482
731,1875
732,1506
733,1983
734,1454
735,1774
811,1595
812,1500
813,2903
814,2015
815,2369
821,1912
822,2170
823,3568
824,2337
825,2797
831,2632
832,2399
833,2776
834,2485
835,2495
911,1617
912,2337
913,1845
914,2177
915,1985
921,1200
922,1899
923,1629
924,1990
925,1674
931,1545
932,1599
933,1394
934,1819
935,1645
1011,2232
1012,1753
1013,1786
1014,1761
1021,2395
1022,1960
1023,1814
1024,1811
1031,2161
1032,1242
1033,1695
1034,2116
1111,2168
1112,3374
1113,1904
1114,1050
1115,1579
1121,3090
1122,2566
1123,1802
1124,1606
1125,1598
1131,1631
1132,2098
1133,2225
1134,1975
1135,2112
1211,1979
1212,1421
1213,1670
1214,1136
1215,797
1221,762
1222,1710
1223,2006
1224,2140
1225,760
1231,2429
1232,1475
1233,1609
1234,826
1235,846
1311,1115
1312,923
1313,973
1322,725
1323,1239
1324,1008
1331,1051
1332,813
1333,672
1411,1592
1412,1591
1413,1564
1414,1802
1421,1966
1422,2229
1423,2221
1424,2159
1431,1664
1432,1900
1433,2455
1434,2225
1511,1835
1512,1778
1513,1640
1522,2797
1523,2521
1524,2401
1531,2841
1532,2602
1533,2740
1611,1068
1612,808
1613,856
1614,1236
1621,532
1622,1854
1623,1751
1624,1717
1631,1142
1632,1378
1633,2151
1634,1842
1650,89
1651,1679
1652,40
1653,121
1654,421
1655,96
1711,1533
1712,2274
1713,1351
1722,1762
1723,2357
1724,1559
1731,1849
1732,2005
1733,1909
1811,1325
1812,1223
1813,1041
1814,1142
1821,2038
1822,2551
1823,2487
1824,2361
1831,3009
1832,1881
1833,2363
1834,4513
1911,1363
1912,1344
1913,2190
1914,798
1915,720
1921,392
1922,1330
1923,1798
1924,2025
1925,1024
1931,1613
1932,1409
1933,1717
1934,871
1935,848
2011,1800
2012,1076
2013,1278
2022,1157
2023,1231
2024,1485
2031,1105
2032,1050
2033,1236
2111,1406
2112,1070
2113,2087
2122,1394
2123,1185
2124,955
2131,705
2132,1274
2133,545
2211,1593
2212,2329
2213,1621
2221,1728
2222,2040
2223,2026
2232,1727
2233,1698
2234,2089
2311,1253
2312,919
2313,806
2322,616
2323,569
2324,655
2331,781
2332,782
2333,922
2411,1990
2412,1875
2413,2223
2422,2556
2423,1583
2424,1740
2431,1766
2432,2425
2433,2286
2511,1311
2512,2636
2513,1154
2514,1908
2515,2084
2521,2587
2522,2047
2523,1743
2524,1745
2525,1356
2531,1938
2532,2150
2533,2999
2534,2633
2535,2159
